date,post_id,amount
2020/11/01,A,7204
2020/11/01,B,0
2020/11/02,A,20400
2020/11/02,B,2509
2020/11/03,A,19691
2020/11/03,B,2412
2020/11/04,A,18441
2020/11/04,B,2361
2020/11/05,A,18564
2020/11/05,B,2701
2020/11/06,A,19608
2020/11/06,B,2905
2020/11/07,A,8548
2020/11/07,B,0
2020/11/08,A,7012
2020/11/08,B,0
2020/11/09,A,19910
2020/11/09,B,2826
2020/11/10,A,20602
2020/11/10,B,2885
2020/11/11,A,18581
2020/11/11,B,2649
2020/11/12,A,18535
2020/11/12,B,2615
2020/11/13,A,19695
2020/11/13,B,3005
2020/11/14,A,8600
2020/11/14,B,0
2020/11/15,A,7222
2020/11/15,B,0
2020/11/16,A,20669
2020/11/16,B,2839
2020/11/17,A,19481
2020/11/17,B,2796
2020/11/18,A,18068
2020/11/18,B,2724
2020/11/19,A,17897
2020/11/19,B,3008
2020/11/20,A,19534
2020/11/20,B,3183
2020/11/21,A,8151
2020/11/21,B,0
2020/11/22,A,6486
2020/11/22,B,0
2020/11/23,A,19284
2020/11/23,B,3266
2020/11/24,A,19281
2020/11/24,B,3385
2020/11/25,A,18553
2020/11/25,B,3581
2020/11/26,A,18869
2020/11/26,B,3493
2020/11/27,A,20840
2020/11/27,B,3851
2020/11/28,A,8908
2020/11/28,B,0
2020/11/29,A,7334
2020/11/29,B,0
2020/11/30,A,22640
2020/11/30,B,4225
