date,post_id,periods,amount
2020/11/01,A,1,0
2020/11/01,A,2,0
2020/11/01,A,3,0
2020/11/01,A,4,0
2020/11/01,A,5,0
2020/11/01,A,6,0
2020/11/01,A,7,0
2020/11/01,A,8,0
2020/11/01,A,9,0
2020/11/01,A,10,0
2020/11/01,A,11,0
2020/11/01,A,12,0
2020/11/01,A,13,0
2020/11/01,A,14,0
2020/11/01,A,15,0
2020/11/01,A,16,1
2020/11/01,A,17,1
2020/11/01,A,18,66
2020/11/01,A,19,294
2020/11/01,A,20,444
2020/11/01,A,21,491
2020/11/01,A,22,568
2020/11/01,A,23,528
2020/11/01,A,24,463
2020/11/01,A,25,365
2020/11/01,A,26,342
2020/11/01,A,27,343
2020/11/01,A,28,400
2020/11/01,A,29,464
2020/11/01,A,30,557
2020/11/01,A,31,552
2020/11/01,A,32,509
2020/11/01,A,33,406
2020/11/01,A,34,284
2020/11/01,A,35,100
2020/11/01,A,36,19
2020/11/01,A,37,0
2020/11/01,A,38,0
2020/11/01,A,39,0
2020/11/01,A,40,0
2020/11/01,A,41,0
2020/11/01,A,42,0
2020/11/01,A,43,0
2020/11/01,A,44,0
2020/11/01,A,45,0
2020/11/01,A,46,0
2020/11/01,A,47,0
2020/11/01,A,48,0
2020/11/01,B,1,0
2020/11/01,B,2,0
2020/11/01,B,3,0
2020/11/01,B,4,0
2020/11/01,B,5,0
2020/11/01,B,6,0
2020/11/01,B,7,0
2020/11/01,B,8,0
2020/11/01,B,9,0
2020/11/01,B,10,0
2020/11/01,B,11,0
2020/11/01,B,12,0
2020/11/01,B,13,0
2020/11/01,B,14,0
2020/11/01,B,15,0
2020/11/01,B,16,0
2020/11/01,B,17,0
2020/11/01,B,18,0
2020/11/01,B,19,0
2020/11/01,B,20,0
2020/11/01,B,21,0
2020/11/01,B,22,0
2020/11/01,B,23,0
2020/11/01,B,24,0
2020/11/01,B,25,0
2020/11/01,B,26,0
2020/11/01,B,27,0
2020/11/01,B,28,0
2020/11/01,B,29,0
2020/11/01,B,30,0
2020/11/01,B,31,0
2020/11/01,B,32,0
2020/11/01,B,33,0
2020/11/01,B,34,0
2020/11/01,B,35,0
2020/11/01,B,36,0
2020/11/01,B,37,0
2020/11/01,B,38,0
2020/11/01,B,39,0
2020/11/01,B,40,0
2020/11/01,B,41,0
2020/11/01,B,42,0
2020/11/01,B,43,0
2020/11/01,B,44,0
2020/11/01,B,45,0
2020/11/01,B,46,0
2020/11/01,B,47,0
2020/11/01,B,48,0
2020/11/02,A,1,0
2020/11/02,A,2,0
2020/11/02,A,3,0
2020/11/02,A,4,0
2020/11/02,A,5,0
2020/11/02,A,6,0
2020/11/02,A,7,0
2020/11/02,A,8,0
2020/11/02,A,9,0
2020/11/02,A,10,0
2020/11/02,A,11,0
2020/11/02,A,12,0
2020/11/02,A,13,0
2020/11/02,A,14,0
2020/11/02,A,15,0
2020/11/02,A,16,3
2020/11/02,A,17,2
2020/11/02,A,18,200
2020/11/02,A,19,969
2020/11/02,A,20,1286
2020/11/02,A,21,1405
2020/11/02,A,22,1439
2020/11/02,A,23,1424
2020/11/02,A,24,1182
2020/11/02,A,25,999
2020/11/02,A,26,933
2020/11/02,A,27,943
2020/11/02,A,28,1075
2020/11/02,A,29,1276
2020/11/02,A,30,1402
2020/11/02,A,31,1482
2020/11/02,A,32,1530
2020/11/02,A,33,1335
2020/11/02,A,34,1035
2020/11/02,A,35,404
2020/11/02,A,36,68
2020/11/02,A,37,0
2020/11/02,A,38,0
2020/11/02,A,39,0
2020/11/02,A,40,0
2020/11/02,A,41,0
2020/11/02,A,42,0
2020/11/02,A,43,0
2020/11/02,A,44,0
2020/11/02,A,45,0
2020/11/02,A,46,0
2020/11/02,A,47,0
2020/11/02,A,48,0
2020/11/02,B,1,0
2020/11/02,B,2,0
2020/11/02,B,3,0
2020/11/02,B,4,0
2020/11/02,B,5,0
2020/11/02,B,6,0
2020/11/02,B,7,0
2020/11/02,B,8,0
2020/11/02,B,9,0
2020/11/02,B,10,0
2020/11/02,B,11,0
2020/11/02,B,12,0
2020/11/02,B,13,0
2020/11/02,B,14,0
2020/11/02,B,15,0
2020/11/02,B,16,0
2020/11/02,B,17,3
2020/11/02,B,18,31
2020/11/02,B,19,70
2020/11/02,B,20,126
2020/11/02,B,21,147
2020/11/02,B,22,148
2020/11/02,B,23,166
2020/11/02,B,24,150
2020/11/02,B,25,74
2020/11/02,B,26,43
2020/11/02,B,27,48
2020/11/02,B,28,121
2020/11/02,B,29,189
2020/11/02,B,30,191
2020/11/02,B,31,197
2020/11/02,B,32,203
2020/11/02,B,33,206
2020/11/02,B,34,181
2020/11/02,B,35,116
2020/11/02,B,36,57
2020/11/02,B,37,23
2020/11/02,B,38,7
2020/11/02,B,39,1
2020/11/02,B,40,0
2020/11/02,B,41,0
2020/11/02,B,42,0
2020/11/02,B,43,0
2020/11/02,B,44,0
2020/11/02,B,45,0
2020/11/02,B,46,0
2020/11/02,B,47,0
2020/11/02,B,48,0
2020/11/03,A,1,0
2020/11/03,A,2,0
2020/11/03,A,3,0
2020/11/03,A,4,0
2020/11/03,A,5,0
2020/11/03,A,6,0
2020/11/03,A,7,0
2020/11/03,A,8,0
2020/11/03,A,9,0
2020/11/03,A,10,0
2020/11/03,A,11,0
2020/11/03,A,12,0
2020/11/03,A,13,0
2020/11/03,A,14,0
2020/11/03,A,15,0
2020/11/03,A,16,1
2020/11/03,A,17,0
2020/11/03,A,18,185
2020/11/03,A,19,1028
2020/11/03,A,20,1357
2020/11/03,A,21,1440
2020/11/03,A,22,1449
2020/11/03,A,23,1376
2020/11/03,A,24,1156
2020/11/03,A,25,893
2020/11/03,A,26,862
2020/11/03,A,27,866
2020/11/03,A,28,1007
2020/11/03,A,29,1267
2020/11/03,A,30,1390
2020/11/03,A,31,1394
2020/11/03,A,32,1404
2020/11/03,A,33,1263
2020/11/03,A,34,929
2020/11/03,A,35,357
2020/11/03,A,36,56
2020/11/03,A,37,0
2020/11/03,A,38,0
2020/11/03,A,39,0
2020/11/03,A,40,0
2020/11/03,A,41,0
2020/11/03,A,42,0
2020/11/03,A,43,0
2020/11/03,A,44,0
2020/11/03,A,45,0
2020/11/03,A,46,0
2020/11/03,A,47,0
2020/11/03,A,48,0
2020/11/03,B,1,0
2020/11/03,B,2,0
2020/11/03,B,3,0
2020/11/03,B,4,0
2020/11/03,B,5,0
2020/11/03,B,6,0
2020/11/03,B,7,0
2020/11/03,B,8,0
2020/11/03,B,9,0
2020/11/03,B,10,0
2020/11/03,B,11,0
2020/11/03,B,12,0
2020/11/03,B,13,0
2020/11/03,B,14,0
2020/11/03,B,15,1
2020/11/03,B,16,3
2020/11/03,B,17,7
2020/11/03,B,18,34
2020/11/03,B,19,74
2020/11/03,B,20,131
2020/11/03,B,21,142
2020/11/03,B,22,145
2020/11/03,B,23,158
2020/11/03,B,24,139
2020/11/03,B,25,69
2020/11/03,B,26,46
2020/11/03,B,27,49
2020/11/03,B,28,119
2020/11/03,B,29,168
2020/11/03,B,30,177
2020/11/03,B,31,187
2020/11/03,B,32,201
2020/11/03,B,33,204
2020/11/03,B,34,166
2020/11/03,B,35,108
2020/11/03,B,36,45
2020/11/03,B,37,23
2020/11/03,B,38,6
2020/11/03,B,39,1
2020/11/03,B,40,1
2020/11/03,B,41,0
2020/11/03,B,42,0
2020/11/03,B,43,0
2020/11/03,B,44,0
2020/11/03,B,45,0
2020/11/03,B,46,0
2020/11/03,B,47,0
2020/11/03,B,48,0
2020/11/04,A,1,0
2020/11/04,A,2,0
2020/11/04,A,3,0
2020/11/04,A,4,0
2020/11/04,A,5,0
2020/11/04,A,6,0
2020/11/04,A,7,0
2020/11/04,A,8,0
2020/11/04,A,9,0
2020/11/04,A,10,0
2020/11/04,A,11,0
2020/11/04,A,12,0
2020/11/04,A,13,0
2020/11/04,A,14,0
2020/11/04,A,15,0
2020/11/04,A,16,1
2020/11/04,A,17,2
